OrderDetailsID,ProductID,OrderItemQuantity,PerUnitPrice,OrderStatus,OrderID,OrderDate,CustomerID,ProductName,CategoryName,ProductDescription,ProductStandardCost,ProductListPrice,Profit,Revenue
24,P024,111,298.98,Shipped,7295,2017-02-15,2324,Intel Xeon E5-2643 V4 (OEM/Tray),CPU,"Speed:3.4GHz,Cores:6,TDP:135W",1225.59,1708.86,483.27,33186.78
25,P025,111,66.89,Pending,7296,2017-02-14,2325,Intel Core i7-6950X (OEM/Tray),CPU,"Speed:3.0GHz,Cores:10,TDP:140W",1479.56,1704.37,224.81,7424.79
26,P026,47,149.88,Canceled,7297,2017-02-14,2326,Intel Xeon E5-2670 V3,CPU,"Speed:2.3GHz,Cores:12,TDP:120W",1453.94,1676.98,223.04,7044.36
27,P027,70,282.98,Shipped,7298,2017-01-24,2327,Intel Xeon E5-2680,CPU,"Speed:2.7GHz,Cores:8,TDP:130W",1479.95,1666.61,186.66,19808.600000000002
28,P028,67,647.99,Pending,7299,2016-11-29,2328,Intel Xeon E5-2680 V4,CPU,"Speed:2.4GHz,Cores:14,TDP:120W",1365.13,1639.99,274.86,43415.33
29,P029,74,305.0,Shipped,7300,2016-11-29,2329,Intel Xeon E5-2680 V3 (OEM/Tray),CPU,"Speed:2.5GHz,Cores:12,TDP:120W",1166.89,1638.89,472.0,22570.0
30,P030,92,759.99,Pending,7301,2016-11-29,2330,Intel Core i7-6950X,CPU,"Speed:3.0GHz,Cores:10,TDP:140W",1052.92,1499.89,446.97,69919.08
31,P031,139,849.99,Shipped,7302,2017-09-28,2331,Intel Xeon E5-2643 V3 (OEM/Tray),CPU,"Speed:3.4GHz,Cores:6,TDP:135W",1266.37,1469.96,203.59,118148.61
32,P032,118,287.0,Shipped,7303,2017-09-27,2332,Intel Xeon E5-2660 V4,CPU,"Speed:2.0GHz,Cores:14,TDP:105W",1194.03,1388.89,194.86,33866.0
33,P033,113,141.56,Canceled,7304,2016-09-27,2333,Intel Xeon E5-2660 V3,CPU,"Speed:2.6GHz,Cores:10,TDP:105W",1041.99,1299.73,257.74,15996.28
34,P034,41,573.99,Pending,7305,2017-09-27,2334,Intel Xeon E5-2660 V3 (OEM/Tray),CPU,"Speed:2.6GHz,Cores:10",902.18,1274.99,372.81,23533.59
35,P035,46,440.3,Shipped,7306,2016-08-16,2335,Intel Xeon E5-2650 V2,CPU,"Speed:2.6GHz,Cores:8",961.11,1249.0,287.89,20253.8
36,P036,98,734.99,Pending,7307,2016-05-27,2336,Intel Xeon E5-2650 V3,CPU,"Speed:2.3GHz,Cores:10",906.63,1204.98,298.35,72029.02
37,P037,116,469.99,Shipped,7308,2017-05-27,2337,Intel Core i7-990X Extreme Edition,CPU,"Speed:3.47GHz,Cores:6",1072.79,1199.99,127.2,54518.840000000004
38,P038,60,329.99,Canceled,7309,2017-05-27,2338,Intel Xeon E5-2650 V4,CPU,"Speed:2.2GHz,Cores:12",945.11,1099.99,154.88,19799.4
39,P039,70,1638.89,Shipped,7310,2016-05-26,2339,Intel Xeon E5-2650,CPU,"Speed:2.0GHz,Cores:8",869.03,1064.99,195.96,114722.3
40,P040,51,282.98,Shipped,7311,2016-09-07,2340,Intel Core i9-7900X,CPU,"Speed:3.3GHz,Cores:10",855.82,1029.99,174.17,14431.980000000001
41,P041,105,1469.96,Shipped,7312,2016-09-07,2341,Intel Xeon E5-1660 V3 (OEM/Tray),CPU,"Speed:3.0GHz,Cores:8",914.52,1019.99,105.47,154345.80000000002
42,P042,53,1199.99,Shipped,7313,2016-08-24,2342,Intel Xeon E5-2650L V3 (OEM/Tray),CPU,"Speed:1.8GHz,Cores:12",779.17,1010.46,231.29,63599.47
43,P043,105,640.99,Shipped,7314,2016-08-16,2343,Intel Core i7-5960X,CPU,"Speed:3.0GHz,Cores:8",865.59,1009.79,144.2,67303.95
44,P044,79,1299.99,Canceled,7315,2017-08-14,2344,Intel Core 2 Extreme QX6800,CPU,"Speed:2.93GHz,Cores:4,TDP:100W",787.72,1003.98,216.26,102699.21
45,P045,44,829.99,Shipped,7316,2017-08-12,2345,Intel Core i7-5960X (OEM/Tray),CPU,"Speed:3.0GHz,Cores:8,TDP:140W",879.8,977.99,98.19,36519.56
46,P046,104,713.99,Shipped,7317,2017-08-12,2346,Intel Xeon E5-2650 V3 (OEM/Tray),CPU,"Speed:2.3GHz,Cores:10,TDP:105W",799.98,939.49,139.51,74254.96
47,P047,129,721.99,Shipped,7318,2017-03-09,2347,Intel Xeon E5-2640 V4,CPU,"Speed:2.4GHz,Cores:10",738.71,899.99,161.28,93136.71
48,P048,109,298.98,Shipped,7319,2017-03-07,2348,Intel Xeon E5-2640 V3,CPU,"Speed:2.6GHz,Cores:8",668.24,899.99,231.75,32588.820000000003
49,P049,114,620.95,Shipped,7320,2016-06-12,2349,Intel Core 2 Extreme QX9775,CPU,Speed:3.2GHz,737.68,892.0,154.32,70788.3
50,P050,38,660.0,Shipped,7321,2016-09-05,2350,Intel Core i7-6900K,CPU,"Speed:3.2GHz,Cores:8",792.89,889.89,97.0,25080.0
51,P051,61,443.72,Canceled,7322,2017-09-05,2351,Intel Core i7-6900K (OEM/Tray),CPU,"Speed:3.2GHz,Cores:8",620.28,827.37,207.09,27066.920000000002
52,P052,38,680.99,Canceled,7323,2017-02-19,2352,AMD Opteron 6378,CPU,"Speed:2.4GHz,Cores:16",651.92,826.99,175.07,25877.62
53,P053,70,41.99,Shipped,7324,2015-05-31,2353,Intel Core i7-3960X Extreme Edition,CPU,Speed:3.3GHz,573.41,800.74,227.33,2939.3
54,P054,68,635.99,Canceled,7325,2016-10-22,2354,Intel Core i7-4770K,CPU,"Speed:3.5GHz,Cores:4",714.15,799.0,84.85,43247.32
55,P055,83,337.81,Canceled,7326,2017-05-11,2355,Intel Xeon E5-2687W,CPU,"Speed:3.1GHz,Cores:8",581.16,710.99,129.83,28038.23
56,P056,93,150.99,Shipped,7327,2015-05-03,2356,Intel Xeon E5-2680 V2,CPU,"Speed:2.8GHz,Cores:10",567.81,701.95,134.14,14042.070000000002
57,P057,141,873.98,Shipped,7328,2017-02-20,2357,Intel Core i7-980,CPU,"Speed:3.33GHz,Cores:6",563.7,699.99,136.29,123231.18000000001
58,P058,133,798.26,Shipped,7329,2017-02-20,2358,Intel Core i7-7820X,CPU,"Speed:3.6GHz,Cores:8",511.1,678.75,167.65,106168.58
59,P059,45,686.99,Shipped,7330,2016-10-10,2359,Intel Core i7-3930K,CPU,"Speed:3.2GHz,Cores:6",509.32,660.0,150.68,30914.55
60,P060,150,1314.99,Shipped,7331,2016-10-10,2360,Intel Xeon E5-2630 V4,CPU,"Speed:2.2GHz,Cores:10",528.95,647.99,119.04,197248.5
61,P061,90,660.0,Canceled,7332,2016-10-02,2361,Intel Xeon E5-2630 V3,CPU,"Speed:2.4GHz,Cores:8",499.96,629.99,130.03,59400.0
62,P062,116,1449.98,Shipped,7333,2016-10-02,2362,Intel Core i7-4930K,CPU,"Speed:2.4GHz,Cores:8",527.69,624.04,96.35,168197.68
63,P063,106,419.99,Canceled,7334,2016-10-02,2363,Intel Core i7-4790K,CPU,"Speed:3.4GHz,Cores:6",461.92,620.95,159.03,44518.94
64,P064,80,47.88,Pending,7335,2016-10-02,2364,Intel Xeon E5-2640 V2,CPU,"Speed:2.0GHz,Cores:8",545.19,608.95,63.76,3830.4
65,P065,45,417.98,Pending,7336,2016-09-29,2365,Intel Xeon E5-1650 V4,CPU,"Speed:3.6GHz,Cores:6",535.47,601.99,66.52,18809.100000000002
66,P066,74,863.05,Pending,7337,2016-09-29,2366,Intel Xeon E5-1650 V4 (OEM/Tray),CPU,"Speed:3.6GHz,Cores:6",453.14,594.99,141.85,63865.7
67,P067,118,759.99,Shipped,7338,2016-09-29,2367,Intel Xeon E5-2630 V3 (OEM/Tray),CPU,"Speed:2.4GHz,Cores:8",421.9,589.99,168.09,89678.82
68,P068,43,701.95,Canceled,7339,2017-08-24,2368,Intel Xeon E5-2630 V2,CPU,"Cores:6,TDP:80W",493.48,588.95,95.47,30183.850000000002
69,P069,51,892.0,Shipped,7340,2016-08-24,2369,Intel Xeon E5-1650 V3,CPU,"Cores:6,TDP:140W",399.77,564.89,165.12,45492.0
70,P070,73,1999.89,Pending,7341,2015-06-29,2370,Intel Core i7-5930,CPU,"Cores:6,TDP:140W",481.56,554.99,73.43,145991.97
71,P071,46,1666.61,Canceled,7342,2017-06-30,2371,PNY VCQP6000-PB,Video Card,Memory:24GBCore Clock:1.42GHz,4058.99,5499.99,1441.0,76664.06
72,P072,104,358.49,Shipped,7343,2016-06-30,2372,PNY VCQM6000-24GB-PB,Video Card,Chipset:Quadro M6000,3619.14,4139.0,519.86,37282.96
73,P073,49,829.89,Shipped,7344,2015-06-30,2373,PNY VCQM6000-PB,Video Card,Chipset:Quadro M6000,2505.04,3254.99,749.95,40664.61
74,P074,34,749.99,Shipped,7345,2016-06-30,2374,ATI FirePro W9000,Video Card,Chipset:FirePro W9000,2785.55,3192.97,407.42,25499.66
75,P075,123,41.99,Pending,7346,2016-06-21,2375,ATI FirePro S9150,Video Card,Chipset:FirePro S9150,2628.06,3177.44,549.38,5164.77
76,P076,130,97.88,Canceled,7347,2013-06-21,2376,AMD FirePro W9100,Video Card,Chipset:FirePro W9100,2483.38,2998.89,515.51,12724.4
77,P077,73,1199.99,Shipped,7348,2016-06-21,2377,EVGA 12G-P4-3992-KR,Video Card,Chipset:GeForce GTX Titan Z,2313.07,2799.99,486.92,87599.27
78,P078,127,2042.69,Canceled,7349,2016-06-14,2378,AMD 100-505989,Video Card,Chipset:FirePro W9100,2128.67,2699.99,571.32,259421.63
79,P079,70,440.3,Shipped,7350,2016-06-13,2379,PNY VCQK6000-PB,Video Card,Chipset:Quadro K6000,1740.31,2290.79,550.48,30821.0
80,P080,75,349.99,Pending,7351,2017-03-17,2380,PNY VCQP5000-PB,Video Card,Chipset:Quadro P5000,1602.21,2015.11,412.9,26249.25
81,P081,55,525.99,Canceled,7352,2017-02-21,2381,HP C2J95AT,Video Card,Chipset:Quadro K5000,1715.91,1999.89,283.98,28929.45
82,P082,101,1999.89,Shipped,7353,2017-02-21,2382,EVGA 12G-P4-1999-KR,Video Card,Chipset:GeForce GTX Titan X,1328.03,1799.99,471.96,201988.89
83,P083,74,649.99,Canceled,7354,2016-02-17,2383,PNY VCQM5000-PB,Video Card,Chipset:Quadro M5000,1268.42,1759.99,491.57,48099.26
84,P084,114,798.26,Shipped,7355,2016-02-17,2384,ATI FirePro S9050,Video Card,Chipset:FirePro S9050,1237.04,1699.0,461.96,91001.64
85,P085,130,482.49,Pending,7356,2017-02-10,2385,AMD 100-5056062,Video Card,Chipset:Vega Frontier Edition Liquid,1343.84,1499.99,156.15,62723.700000000004
86,P086,72,710.99,Canceled,7357,2017-02-10,2386,PNY VCQK5200-PB,Video Card,Chipset:Quadro K5200,1129.39,1449.98,320.59,51191.28
87,P087,61,647.99,Pending,7358,2017-02-10,2387,AMD FirePro S7000,Video Card,Chipset:FirePro S7000,936.42,1218.5,282.08,39527.39
88,P088,104,149.88,Pending,7359,2017-01-02,2388,AMD 100-506061,Video Card,Chipset:Vega Frontier Edition Liquid,706.99,999.99,293.0,15587.52
89,P089,143,695.99,Shipped,7360,2015-12-14,2389,ATI FirePro R5000,Video Card,Chipset:FirePro R5000,760.59,999.99,239.4,99526.57
90,P090,61,329.99,Shipped,7361,2015-12-01,2390,PNY VCQK4200-PB,Video Card,Chipset:Quadro K4200,799.05,949.89,150.84,20129.39
91,P091,98,1899.99,Shipped,7362,2016-12-01,2391,Asus GTX780TI-3GD5,Video Card,Chipset:GeForce GTX 780 Ti,781.91,899.99,118.08,186199.02
92,P092,57,4139.0,Pending,7363,2016-11-30,2392,MSI GTX 1080 TI LIGHTNING Z,Video Card,Chipset:GeForce GTX 1080 Ti,688.35,873.98,185.63,235923.0
93,P093,146,873.98,Shipped,7364,2017-11-01,2393,Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING,Video Card,Chipset:GeForce GTX 1080 Ti,696.14,864.98,168.84,127601.08
94,P094,146,1704.37,Shipped,7365,2015-10-27,2394,MSI GTX 1080 TI LIGHTNING X,Video Card,Chipset:GeForce GTX 1080 Ti,742.94,863.98,121.04,248838.02
95,P095,101,734.99,Shipped,7366,2015-10-28,2395,Zotac ZT-P10810A-10P,Video Card,Chipset:GeForce GTX 1080 Ti,702.35,849.99,147.64,74233.99
96,P096,120,1699.0,Canceled,7367,2016-10-28,2396,MSI GAMING,Video Card,Chipset:GeForce GTX 780 Ti,753.18,849.99,96.81,203880.0
97,P097,97,83.88,Pending,7368,2015-10-28,2397,Asus STRIX-GTX1080TI-O11G-GAMING,Video Card,Chipset:GeForce GTX 1080 Ti,691.13,829.99,138.86,8136.36
98,P098,73,784.98,Pending,7369,2016-09-19,2398,PNY VCQP4000-PB,Video Card,Chipset:Quadro P4000,725.0,829.89,105.0,57303.54
99,P099,92,713.99,Shipped,7370,2016-09-14,2399,Gigabyte GV-N108TAORUSX W-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,596.05,824.98,228.93,65687.08
100,P100,65,671.38,Shipped,7371,2016-07-12,2400,Zotac ZT-70203-10P,Video Card,Chipset:GeForce GTX 780,580.42,820.61,240.19,43639.7
101,P101,147,2200.0,Canceled,7372,2017-03-18,2401,EVGA 11G-P4-6598-KR,Video Card,Chipset:GeForce GTX 1080 Ti,663.54,809.99,146.45,323400.0
102,P102,145,339.99,Pending,7373,2017-01-07,2402,MSI GTX 1080 TI SEA HAWK X,Video Card,Chipset:GeForce GTX 1080 Ti,691.32,804.98,113.66,49298.55
103,P103,63,1469.96,Shipped,7374,2017-01-05,2403,Corsair CB-9060011-WW,Video Card,Chipset:GeForce GTX 1080 Ti,573.51,799.99,226.48,92607.48
104,P104,133,741.63,Pending,7375,2016-02-08,2404,MSI GTX 1080 TI AERO 11G OC,Video Card,Chipset:GeForce GTX 1080 Ti,715.72,798.26,82.54,98636.79
105,P105,42,2259.99,Canceled,7376,2017-02-01,2405,NVIDIA VCQM4000-PB,Video Card,Chipset:Quadro M4000,682.09,790.0,107.91,94919.57999999999
106,P106,35,88.99,Shipped,7377,2016-11-17,2406,Gigabyte GV-N108TAORUS X-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,688.35,784.98,96.63,3114.6499999999996
107,P107,137,608.95,Shipped,7378,2017-02-20,2407,Gigabyte GV-N1070WF2OC-8GD,Video Card,Chipset:GeForce GTX 1070,551.62,769.99,218.37,83426.15000000001
108,P108,114,588.95,Pending,7379,2017-01-03,2408,MSI GeForce GTX 1080 TI ARMOR 11G OC,Video Card,Chipset:GeForce GTX 1080 Ti,644.19,764.98,120.79,67140.3
109,P109,46,713.99,Shipped,7380,2017-10-15,2409,EVGA 11G-P4-6696-KR,Video Card,Chipset:GeForce GTX 1080 Ti,594.46,759.99,165.53,32843.54
110,P110,123,2377.09,Shipped,7381,2017-04-09,2410,MSI GeForce GTX 1080 Ti GAMING X 11G,Video Card,Chipset:GeForce GTX 1080 Ti,666.59,759.99,93.4,292382.07
111,P111,139,677.99,Pending,7382,2017-08-15,2411,Zotac ZT-P10810C-10P,Video Card,Chipset:GeForce GTX 1080 Ti,535.03,759.99,224.96,94240.61
112,P112,45,339.99,Canceled,7383,2016-12-01,2412,Zotac ZT-P10810D-10P,Video Card,Chipset:GeForce GTX 1080 Ti,580.1,759.99,179.89,15299.550000000001
113,P113,84,1199.99,Pending,7384,2015-04-09,2413,PNY VCGGTX1080T11XGPB-OC,Video Card,Chipset:GeForce GTX 1080 Ti,600.92,759.99,159.07,100799.16
114,P114,89,722.99,Shipped,7385,2017-05-11,2414,Zotac ZT-P10810G-10P,Video Card,Chipset:GeForce GTX 1080 Ti,598.25,754.98,156.73,64346.11
115,P115,114,1199.99,Canceled,7386,2016-12-03,2415,Gigabyte GV-N98TWF3OC-6GD,Video Card,Chipset:GeForce GTX 980 Ti,633.29,749.99,116.7,136798.86000000002
116,P116,70,84.95,Shipped,7387,2016-12-20,2416,PNY VCGGTX780T3XPB-OC,Video Card,Chipset:GeForce GTX 780 Ti,592.12,749.99,157.87,5946.5
117,P117,38,90.99,Pending,7388,2016-08-16,2417,MSI GTX 980 Ti Gaming 6G,Video Card,Chipset:GeForce GTX 980 Ti,539.98,745.32,205.34,3457.62
118,P118,138,1676.98,Shipped,7389,2015-05-02,2418,Gigabyte GV-N108TAORUS-11GD,Video Card,Chipset:GeForce GTX 1080 Ti,605.3,744.98,139.68,231423.24
119,P119,34,267.99,Pending,7390,2016-09-29,2419,EVGA 06G-P4-4998-KR,Video Card,Chipset:GeForce GTX 980 Ti,521.03,741.78,220.75,9111.66
120,P120,39,3192.97,Shipped,7391,2016-12-13,2420,MSI GTX 1080 Ti DUKE 11G OC,Video Card,Memory:11GBCore Clock:1.53GHz,555.07,739.99,184.92,124525.82999999999
121,P121,104,399.99,Shipped,7392,2016-12-02,2421,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",1139.23,1620.99,481.76,41598.96
122,P122,66,109.99,Shipped,7393,2016-10-27,2422,G.Skill TridentZ RGB,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1330.26,1504.99,174.73,7259.339999999999
123,P123,70,149.88,Shipped,7394,2016-06-14,2423,Corsair Dominator Platinum,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",1051.97,1449.99,398.02,10491.6
124,P124,47,699.01,Canceled,7395,2016-06-13,2424,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1163.49,1431.99,268.5,32853.47
125,P125,69,1099.99,Shipped,7396,2017-03-17,2425,G.Skill Trident Z RGB,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",1174.36,1418.99,244.63,75899.31
126,P126,117,849.99,Pending,7397,2017-02-21,2426,G.Skill Ripjaws V Series,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1139.87,1318.99,179.12,99448.83
127,P127,74,734.99,Shipped,7398,2017-02-21,2427,Corsair Dominator Platinum,Storage,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1131.68,1314.99,183.31,54389.26
128,P128,116,443.72,Shipped,7399,2016-02-17,2428,Corsair Vengeance LPX,Storage,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",912.98,1299.99,387.01,51471.520000000004
129,P129,77,686.99,Pending,7400,2016-02-17,2429,Corsair Dominator Platinum,Storage,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1068.66,1264.99,196.33,52898.23
130,P130,65,16.99,Canceled,7401,2017-02-10,2430,Corsair Vengeance LPX,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1019.51,1199.99,180.48,1104.35
131,P131,45,725.99,Shipped,7402,2017-02-10,2431,Corsair Dominator Platinum,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1002.47,1199.99,197.52,32669.55
132,P132,70,824.98,Pending,7403,2017-02-10,2432,Corsair Vengeance LPX,Storage,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",867.52,1163.99,296.47,57748.6
133,P133,123,68.06,Shipped,7404,2017-01-02,2433,Corsair Vengeance LPX,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",821.91,1099.99,278.08,8371.380000000001
134,P134,58,572.96,Shipped,7405,2015-12-14,2434,G.Skill Ripjaws 4 Series,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",836.03,1055.99,219.96,33231.68
135,P135,67,1204.98,Pending,7406,2015-12-01,2435,Kingston HyperX Beast,Storage,"Speed:DDR3-1866,Type:240-pin DIMM,CAS:10Module:8x8GBSize:64GB",708.91,863.05,154.14,80733.66
136,P136,106,588.95,Pending,7407,2016-12-01,2436,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:2x16GBSize:32GB",580.33,811.99,231.66,62428.700000000004
137,P137,62,66.89,Canceled,7408,2016-11-30,2437,Corsair Vengeance Pro,Storage,"Speed:DDR3-2133,Type:240-pin DIMM,CAS:11Module:8x8GBSize:64GB",596.25,808.92,212.67,4147.18
138,P138,78,299.89,Shipped,7409,2017-11-01,2438,Corsair Dominator Platinum,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",700.5,804.99,104.49,23391.42
139,P139,146,635.99,Pending,7410,2015-10-27,2439,G.Skill Trident Z RGB,Storage,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",622.47,799.99,177.52,92854.54000000001
140,P140,45,731.99,Canceled,7411,2015-10-28,2440,Crucial,Storage,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:17Module:1x64GBSize:64GB",604.04,799.0,194.96,32939.55
141,P141,50,948.99,Shipped,7412,2016-06-21,2441,G.Skill Trident Z,Storage,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",594.04,768.99,174.95,47449.5
142,P142,119,739.99,Shipped,7413,2013-06-21,2442,Crucial,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",590.13,766.11,175.98,88058.81
143,P143,77,419.99,Canceled,7414,2016-06-21,2443,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",647.83,760.99,113.16,32339.23
144,P144,120,721.99,Shipped,7415,2016-06-14,2444,G.Skill Trident Z,Storage,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",556.8,758.99,202.19,86638.8
145,P145,62,1499.89,Pending,7416,2016-06-13,2445,Corsair Dominator Platinum,Storage,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",609.89,749.99,140.1,92993.18000000001
146,P146,97,939.49,Canceled,7417,2017-03-17,2446,Kingston,Storage,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",650.48,741.63,91.15,91130.53
147,P147,33,1249.0,Shipped,7418,2017-02-21,2447,Corsair Vengeance LPX,Storage,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",609.53,734.99,125.46,41217.0
148,P148,134,710.99,Shipped,7419,2017-02-21,2448,G.Skill Trident Z,Storage,"Speed:DDR4-3400,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",565.39,731.99,166.6,95272.66
149,P149,105,635.99,Shipped,7420,2016-02-17,2449,G.Skill Trident Z,Storage,"Speed:DDR4-3466,Type:288-pin DIMM,CAS:16Module:4x16GBSize:64GB",601.56,725.99,124.43,66778.95
